user_name,user_location,review_count,review_title,review_datetime,review_views,review_content,platform
aruns26MouthShut Verified Member,India,1 Review,"Review of Trainer Rajendra Wagh,AWS Developer Assc",4 days ago,27 Views,Trainer Name: Rajendra WaghCourse Name: AWS Devveloper AssociateVery good sessions from Rajendra.Knowledgable trainer and guides the students well through the sessions.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
veersudhir83MouthShut Verified Member,,1 Review,Awesome training on AWS by Rajendra Wagh,4 days ago,23 Views,Trainer Name: Rajendra WaghCourse Name: AWS Developer AssociateGreat thing about Rajendra is his presentation style. He slowly takes you through the concept and dives deep further. Finally adds it up with a demo taking some examples.He doesn't use any presentation decks - he explains the concepts through hand written diagrams during the class to make it more engaging. He keeps asking questions to ensure the concept is understood by the learners.I recommend him for anyone starting their cloud journey.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
prashantsyeoleMouthShut Verified Member,NA INDIA,1 Review,Excellent way of teaching,4 days ago,24 Views,Trainer Name: Rajendra WaghCourse Name: AWS Developer AssociateYou have an excellent way of teaching a topic. use of examples and demo really helps to understand the topic very well.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
mangesh9MouthShut Verified Member,India,1 Review,Rating for PMP trainer,4 days ago,30 Views,"Very nice way of explaining the project management concepts, details with real time case studies.Love the way and feel very interesting learning Project Management with Sachin Goswami sir.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
arpitadas385MouthShut Verified Member,India,1 Review,SQL CERTIFICATION COURSE WITH ShRUTI NIGAM,4 days ago,31 Views,The course was well designed & almost covered all topic.Shruti mam was extremely patience & taught every topic nicely .She has given enough time to every one to get along with the class.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
amit_mehta729MouthShut Verified Member,,1 Review,Amazing learning - Great day to day examples,4 days ago,32 Views,It is an amazing experience with Sachin on the training. easy understanding to concepts.the only thinks that needs tons of improvement is way that Simplilearn app needs to have easy UI that can be working on all the OS. On apple products it is bad.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
kumaraswamyprasanMouthShut Verified Member,,1 Review,Agile Scrum Master June 2024 Batch 1,5 days ago,45 Views,"Course - Agile Scrum Master June 2024 Batch 1Trainer Name - SaurabhThe sessions were very interactive and lively.The training content is very relevant, apt and easy to understand.The platform is also very easy to use, navigate and execute.The trainer was able to keep it very informative, interactive, easy to understand and ensured participation from maximum number of participants .Also, the guidance provided for solving the assessment and project submission is very useful and makes it simpler.Overall it has been a very knowledgeable experience and a great exposure .Thanks to the entire team.PrasannaFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
VINOD_SAPL2MouthShut Verified Member,,1 Review,Wonderful learning,5 days ago,41 Views,Agile scrum master june batch 1Trainer:SaurabhHe is excellent teacher makes learning simpler and easier.i enjoyed it very much and much useful for me for my challenges.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
vlokeshdMouthShut Verified Member,India,1 Review,Insightful and to the point,5 days ago,45 Views,Attended the June'24 batch 3 off CBAP(certified business analysis professional) that was taught by Mr. Shashank Sharma.His teaching was clear and onto the point regarding the topics that were taught.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
tyagihimanshu2409MouthShut Verified Member,India,1 Review,CBAP Training,5 days ago,20 Views,"Overall learning is great, mentor have good knowledge skills and industry skillsFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
itspriyoMouthShut Verified Member,,1 Review,PMP Trainer - Sachin Goswami,5 days ago,50+ Views,"My PMP Trainer in Simplilearn, Mr Sachin Goswami, is an exceptional storyteller whose teaching style makes learning project management easy and engaging for beginners. His ability to weave real-world examples into the curriculum makes complex concepts easy to understand and retain. I highly recommend him!Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
ashrichaMouthShut Verified Member,India,1 Review,PMP Trainer - Sachin Goswami,5 days ago,46 Views,"Awesome professor, his examples and way of teaching is the a boon to novices in project management. He makes life easierFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
myskill365MouthShut Verified Member,,2 Reviews,"Course - PMP, Trainer - Tushar Gupta",5 days ago,49 Views,"I thank & appreciate, Tushar for guiding & helping me on PMP training. its very well composed with narration to the granular details along with notes & attachments & visually presented, keep up all your good work.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
sudhanshuchaiMouthShut Verified Member,"Gaya, India India",1 Review,Training,5 days ago,50+ Views,"Very enlighten session during each session. Session been always vey interactive and productive, demonstrating detailed example.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
mailvajayMouthShut Verified Member,,1 Review,PMP Certification program by Thushar Gupta,5 days ago,50+ Views,The trainer had good competency and answered all the questions with rational.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
singhanirudh0802MouthShut Verified Member,,1 Review,PMP course training,5 days ago,48 Views,It's been an exceptional journey so far. Our training is fantastic and walkthrough the classes to real time use cases.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
chalambabu,,2 Reviews,"Be aware of this guys,they are untrust worthy","May 22, 2024 07:21 AM",50+ Views,If you enquire about any thing they keep calling multiple times in a day asking you to pay for the course.They keep talking so smooth and will promise you to take care of every thing until course is complete.But once you pay they will ignore the message and will get no response.I have wasted 25K for one of the courses.Dont pay any thing until you get 120% sure just tell them you wont pay any thing upfront.especially if you get a call from any of the below just ignore them and block them.They claim to be managers and will do any help but no use just ignore them.naim.mansuri@simplilearn.netash.dwivedi@simplilearn.netpiyush.rath@simplilearn.netagam.pancholi@simplilearn.net Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
ananthalakshmimay,India,2 Reviews,Worst Experience - PMP Exam,"May 17, 2024 05:44 PM",75 Views,"Hi All,I want to share my worst experience which I had with Simplilearn forPMP Exam recently. I paid 50K for PMP training and certification.For couple of reasons I dont want to proceed so I asked for refund.No single person is ready to help me and the voucher code which was provided is also showing as expired before the validity date(30Aug2024).Customer support person is very Rude and they are not ready to help us in anywaysNote - They called me 4 times within a day to enroll the course but now for refund no one is trying to hear my concern.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
renusingh2602,India,1 Review,"It's scam, please don't buy","May 16, 2024 11:22 PM",46 Views,"All aspects, angles of this whole process are matching with case of a scam.For example:Fake promise that course will start on 2nd AprilLuring me with complimentary courses, but never providedIn the main one is no one is talking to me. Your employee or maybe 3rd party sales person has stopped picking phone or replying to messages, right after the sale.No refund- when I asked for refund they are saying that you have consumed 25% of whole 1 year course, though my classes not even started yet. They pre-requisite classes I couldn't submit because I couldn't understand them. Secondly just 1 or 2 is equal to 25% of whole 1 year course?Before this incident I had a lot of respect for SimpliLearn but now I am scared that such old company and brand names can do this, then who to trust. I still have faith and hoping that this issue will be resolved.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
thouseef04jog,India,1 Review,Cheated by Simplielearn,"May 14, 2024 07:25 AM",97 Views,"The reason I enrolled Business Analysis program for better growth, I selected Simplielearn only for job assistance. But I was cheated by simplielearn. They just give false promises before enrolling. I lost huge money with no use for certification we have lot of other institutions who charge less and give valid certificate. My request to simplielearn team is please don't cheat by the help of job assistance and all just provide training that itThanks......Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
phebeprasanthiMouthShut Verified Member,India,1 Review,Simplilearn PG DS Course,"Apr 19, 2024 06:32 PM",583 Views,Course: PGC DS - Data Visualization using TableauTrainer Name: Joy BhowmikFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
beautifulsmile80MouthShut Verified Member,India,1 Review,Passionate Training Faculty,"Apr 14, 2024 11:36 PM",646 Views,"Recently completed the Tableau course with training faculty Suman Deep. Was BY FAR my BEST online course experience. She is passionate about the course material and even MORE passionate about teaching. She was patient and effortlessly provided support and guidance to all course participants. Any questions/issues I faced during class lessons were addressed. I felt heard and my opinions mattered. Simplilearn Operation Managers, I challenge you to hire more faculty who possess similar qualities as Suman. In addition to that, give SUMAN a raise:-)Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
hkandulaMouthShut Verified Member,India,1 Review,Good place to develop skills,"Apr 14, 2024 11:32 PM",665 Views,"I am pursuing Post graduate program in full stack web development. I have learned front end tools like HTML, CSS, Java script and Angular,   Backend tools like Java, servlets, JSP, Spring and Spring boot and databases like Mysql and mongoDB and also git for version control and jira for agile. Our Trainer Ashok sir taught everything excellent and helped us solve every issue and query with patience. Course provided hands on experience through course end projects for every module and also have capstone projects.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
shibdayalsinghMouthShut Verified Member,India,1 Review,PGC DS - Programming Refresher || Abhinav Dubey,"Apr 14, 2024 11:24 PM",643 Views,"Yes, this refresher is very engaging.And Mr. Abhinav Dubey has covered all of the topics in simpler manner which is very easy to understand.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
madhuri7750MouthShut Verified Member,,1 Review,PGC DS-Programming Refresher by Abhinav Dubey,"Apr 14, 2024 11:17 PM",627 Views,The trainer Abhinav Dubey Sir is very excellent in explaining concepts of the course in depth and detail.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
vamsi653MouthShut Verified Member,India,1 Review,PGC DS Foundations: Programming Refresher -,"Apr 14, 2024 11:16 PM",609 Views,Trainer name; Abhinav DubeyMy trainer is Abhinav and he is very good with the training skills.I refer Simplilearn for training.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
tusharnalawade0710MouthShut Verified Member,India,1 Review,Session review,"Apr 14, 2024 11:15 PM",606 Views,This session was okayish and one class for last Sunday was skipped.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
navendarshamatla20MouthShut Verified Member,India,1 Review,Caltech Post Graduate Program in Data Science,"Apr 14, 2024 11:15 PM",606 Views,Abhinav - Trainer explained very well. We had two sessions with this trainer.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
kskeshri1991MouthShut Verified Member,India,1 Review,PGP in Data Science,"Apr 14, 2024 11:14 PM",598 Views,Course is good and elaborative. The trainer is explaining the concepts very wellFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
meetyourkeshavMouthShut Verified Member,,2 Reviews,Trainer Name: Swaminathan Course,"Apr 14, 2024 10:11 PM",598 Views,"Course Name: Container Orchestration using KubernetesThe sessions are so good, even as a beginner I can grasp the concepts very easily because of the trainers easy way of explanation thingsFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
verma.anil01MouthShut Verified Member,Bengaluru/ Bangalore India,1 Review,Very well explained,"Apr 14, 2024 09:51 PM",601 Views,"Very good products, its deliver the value we have paid, and recommend others to try out onceFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
vidyasatavMouthShut Verified Member,Mumbai 10795,1 Review,Container Orchestration using Kubernetes,"Apr 14, 2024 09:48 PM",614 Views,Trainer Name: SwaminathanName: Container Orchestration using KubernetesGood knowledge on topics and explanation process.Appreciate the Q n A sessions.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
meetyourkeshavMouthShut Verified Member,,2 Reviews,Feedback,"Apr 14, 2024 09:46 PM",593 Views,"The sessions are good, I can able to grasp the concepts quickly even as  a beginnerFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
bharathaj2211MouthShut Verified Member,India,1 Review,Good,"Apr 14, 2024 09:44 PM",583 Views,"Excellent lab setup for devops, and kubernates trainers are supportive for you questionsFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
rahulsisodiaMouthShut Verified Member,,1 Review,"Good learning experience, specially practicals","Apr 14, 2024 09:44 PM",579 Views,"Practicals covered in the course are very informative.Best platform for someone who wants to learn k8s, trainers are very good specially Mr. SwaminathanFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
ossavinashMouthShut Verified Member,India,1 Review,About PG program in DevOps.,"Apr 14, 2024 09:44 PM",584 Views,Industry relevent content. Bsics are covered in depts.  Advanced level need practice and self project in addition to Training content.Please go ahead with this course if you are looking for a career in Devops or looking for getting certified in future for Configuration management or Kubernetes admin role.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
jeevithmadikeriMouthShut Verified Member,,1 Review,Trainer: Swami ; PG DO - Container Orchestration,"Apr 14, 2024 09:41 PM",610 Views,It was were good session till date.Where I have learn many concepts which were deep dived into it.I thank the trainer for all his effort.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
saibabuguttaMouthShut Verified Member,,1 Review,Container Orchestration using Kubernetes,"Apr 14, 2024 09:40 PM",610 Views,"Trainer Name: SwaminathanName: Container Orchestration using KubernetesGreat, Expiation was good with simple wayFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
ankitshukla208012MouthShut Verified Member,India,1 Review,"Highly effective curriculum, expert faculty","Apr 14, 2024 09:40 PM",609 Views,"I am happy to share my review of the course(Data Analytics IITK). I highly recommend it to anyone looking to gain a strong understanding of data analytics. The instructors have expertise and explain complex concepts in a clear, concise, and engaging way. The LMS staff is also helpful and responds within time. I feel confident that the knowledge and skills I gained will be beneficial to me.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
pawantiwari391MouthShut Verified Member,India,1 Review,PCP CS: Capstone Project,"Apr 14, 2024 09:17 PM",640 Views,"Hi team,I'm thrilled to share that I've successfully completed the PCP CS: Capstone Project today! I must say, Simplilearn has been an incredibly easy-to-use learning platform throughout this journey. Prof. Bipin Kulkarni's explanations were crystal clear and made everything so much easier to understand.Thanks,Pawan TiwariFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
vishalsinghbisht99MouthShut Verified Member,India,1 Review,Nice course on ethical hacking and VAPT,"Apr 14, 2024 09:07 PM",161 Views,Bipin sir have good knowledge and explains the topics with easeFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
annamalaiganaMouthShut Verified Member,,1 Review,PCP CS: Cybersecurity Capstone Project,"Apr 14, 2024 09:05 PM",128 Views,PCP CS: Cybersecurity Capstone ProjectTrainer name: Bipin KulkarniComments: Its been better explained by the trainer on all the three capstone projects which includes in addressing all the quries from us. Thanks Prof and LSM.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
manojsharma201297MouthShut Verified Member,,1 Review,Title,"Apr 14, 2024 07:28 PM",132 Views,"Description for the review: Good, trainer's delivery style was easy to understandFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
poojav404,India,1 Review,PG CS- Cyber Security Course,"Apr 14, 2024 11:09 AM",185 Views,"Thought out my journey during this course, I found that Simplilearn being wonderful in terms of providing the support. In terms of the trainers that I got in all the modules, each and every one of them was of high standard and skills. They took all the time to explain the concepts and taking the queries from us. Highly recommend Simplilearn to everyone looking for a boot camp that they provide in various categories.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
cocofinoempireMouthShut Verified Member,India,1 Review,Engaging Session,"Apr 13, 2024 11:08 PM",165 Views,"Trainer is very through in his explanations.The only negative I have is the pace of the program, it is slightly too slow for my liking. But overall it is a great pace for complete beginners.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
